Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,b-o-1-z-6,b-o-1-z-7,p-o-1-z-8,b-o-1-z-9,b-o-2-e-1,b-o-2-e-2,p-o-2-e-3,p-o-2-e-4,b-o-2-z-5,b-o-2-z-6,p-o-2-z-7,b-o-2-z-8,b-o-2-z-9,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-o-3-e-4,p-o-3-p-5,p-o-3-z-6,b-o-3-z-7,b-f-3-z-8,b-f-3-z-9,b-o-3-z-10,b-o-3-z-11,b-o-4-e-1,b-o-4-e-2,p-o-4-e-3,p-o-4-e-4,b-f-4-z-5,p-o-4-z-6,b-f-4-z-7,p-f-4-z-8,p-f-4-z-9,b-o-4-z-10,p-o-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-e-4,p-o-5-p-5,p-f-5-z-6,p-f-5-z-7,p-f-5-z-8,b-o-5-z-9,p-o-6-e-1,p-o-6-e-2,p-o-6-e-3,p-o-6-p-4,b-o-6-z-5,p-f-6-z-6,p-f-6-z-7,b-o-6-z-8,p-o-6-e-1.1,p-o-6-e-2.1,p-o-6-e-3.1,p-o-6-e-4,p-o-6-z-5,p-f-6-z-6.1,p-f-6-z-7.1,b-o-8-e-1,p-o-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5,p-o-8-p-6
ac18x-01,100,95,100,70,85,76,85,90,80,87,95,100,98,100,100,85,100,90,84,100,95,95,100,100,100,95,90,95,80.0,85,90,92,96,100,95,68,90,95,85,100,90,95,98,95,100,100,99,90.0,79,90,100,80,100,90,100,80.0,90,95,85,98,98,94,90,90,95,100,95,90,95
ac18x-02,90,60,60,60,90,60,75,70,80,75,60,85,70,80,85,70,60,100,70,78,60,92,60,60,65,60,60,70,75.0,60,60,60,60,60,75,70,60,60,85,60,60,60,60,60,60,60,60,60.0,60,60,60,75,75,60,70,85.0,60,60,60,75,60,75,65,70,70,87,60,70,80
ac18x-03,95,75,85,100,95,71,80,90,90,70,80,95,72,95,100,75,100,100,90,85,80,90,75,70,70,60,60,70,80.0,85,82,85,70,95,85,65,75,90,85,60,70,90,67,60,90,64,85,90.0,63,65,65,75,70,80,65,95.0,60,88,83,82,70,80,60,64,80,85,70,75,80
ac18x-04,100,96,100,100,95,95,90,100,90,85,80,95,96,100,100,94,90,100,100,95,90,90,99,100,95,100,82,100,95.0,71,90,90,90,60,100,70,85,90,85,65,75,75,62,80,96,61,93,90.0,75,75,92,80,80,85,78,96.0,90,78,95,80,70,66,90,70,85,75,65,90,85
ac18x-05,95,90,100,85,90,75,85,95,90,85,80,95,96,100,100,94,90,100,100,90,90,100,96,96,100,85,60,75,95.0,100,90,99,98,100,95,85,100,100,85,94,90,100,100,95,100,99,94,90.0,70,80,100,90,95,85,100,90.0,85,87,0,60,65,66,0,0,0,0,0,90,85
ac18x-06,95,90,100,85,90,75,85,95,90,90,80,85,85,100,100,80,75,100,95,95,80,98,85,75,90,95,75,70,80.0,99,91,100,97,100,90,100,85,100,85,60,85,95,90,100,92,75,93,90.0,60,80,75,95,70,80,65,90.0,90,84,78,91,80,90,65,75,85,87,65,80,90
ac18x-07,75,85,80,60,90,75,80,80,90,65,60,85,71,90,95,65,70,90,95,90,80,77,75,85,75,65,80,75,85.0,88,70,70,60,70,75,80,60,90,85,60,70,80,60,60,75,60,81,90.0,60,60,60,75,65,75,60,92.0,60,60,65,90,76,85,60,62,80,85,70,75,80
ac18x-08,65,60,60,60,95,60,95,60,85,60,60,85,68,90,100,60,60,80,60,60,60,60,70,60,70,62,60,60,75.0,60,60,60,60,60,75,75,70,60,85,60,75,60,60,60,60,60,60,60.0,60,75,60,60,82,60,60,60.0,65,60,60,60,60,65,60,76,80,70,60,70,70
ac18x-09,78,100,100,80,90,75,85,100,80,75,75,100,95,100,95,90,75,100,60,60,80,93,90,60,60,60,60,60,75.0,60,60,65,60,60,75,70,70,75,85,60,60,60,60,60,60,75,80,90.0,60,60,60,75,85,60,60,90.0,60,60,65,60,60,60,60,80,80,80,65,70,80
ac18x-10,95,100,100,85,90,93,95,100,80,90,90,100,95,100,100,93,100,100,91,90,95,97,96,90,100,80,80,90,70.0,99,85,97,100,100,100,85,100,100,85,70,100,100,95,100,95,90,93,90.0,62,60,80,90,80,70,75,91.0,95,87,82,85,75,76,60,60,90,80,75,100,90
ac18x-11,100,90,95,75,90,75,80,90,90,87,90,100,94,100,100,91,100,100,85,90,95,90,75,90,90,70,90,90,80.0,100,100,92,90,90,100,85,100,100,100,100,95,90,90,98,95,90,90,90.0,60,80,75,80,70,70,70,98.0,80,75,95,90,75,80,60,90,90,80,75,100,90
ac18x-12,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,97,95,100,95.0,100,90,99,100,100,100,100,100,100,90,100,100,100,100,100,100,100,95,95.0,100,100,100,100,100,100,100,95.0,100,98,100,100,100,96,95,96,100,100,100,100,100
