Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-z-4,b-o-1-z-5,p-o-1-z-6,b-o-2-e-1,b-o-2-e-2,p-o-2-e-3,p-o-2-e-4,b-o-2-z-5,p-o-2-z-6,p-o-2-z-7,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-o-3-e-4,p-o-3-p-5,p-o-3-z-6,b-f-3-z-7,b-f-3-z-8,b-o-3-z-9,b-o-4-e-1,p-o-4-e-2,p-o-4-e-3,b-o-4-e-4,p-o-4-z-5,b-f-4-z-6,b-f-4-z-7,p-f-4-z-8,p-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-e-4,p-o-5-p-5,p-f-5-z-6,p-f-5-z-7,p-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-o-6-e-3,p-o-6-p-4,b-o-6-z-5,p-f-6-z-6,p-f-6-z-7,b-o-6-z-8,p-o-6-p-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-e-4,p-f-7-e-5,p-o-7-e-6,p-f-7-e-7,b-o-8-e-1,p-o-8-z-2,p-o-8-e-3,p-f-8-e-3,p-o-8-p-5
ac19x-01,80,90,60,60,70,60,60,60,80,65,98,87,80,75,86,80,86,60,85,75,60,65,70,77,88,70,80,100,70,60,76,90,75,91,82,90,87,85,73,66,80,63,60,100,78,67,90,80,68,75,82,80,60,87,65,66.0,95,75,67,95
ac19x-02,100,100,85,80,75,100,60,70,85,95,92,97,80,85,96,75,100,85,60,95,64,65,60,63,62,96,60,70,75,60,68,60,77,90,81,75,87,68,70,66,94,99,85,100,73,99,90,70,84,60,65,85,60,84,75,90.0,60,75,82,60
ac19x-03,100,85,80,75,90,82,90,93,100,97,95,100,100,95,97,80,93,85,98,90,95,90,95,69,70,100,80,100,75,67,80,78,85,84,77,60,91,60,75,86,76,70,87,100,99,66,90,80,83,95,75,100,90,100,90,90.0,85,75,91,90
ac19x-04,80,80,75,70,100,80,60,60,100,60,69,60,75,85,100,60,79,76,60,90,63,65,60,63,76,90,70,95,65,70,60,75,80,100,77,90,98,60,84,76,90,98,90,100,97,90,90,70,68,95,81,95,70,74,60,82.0,85,75,82,90
ac19x-05,100,100,100,95,100,100,90,94,100,99,90,100,100,90,100,100,100,100,100,95,95,95,93,100,99,100,100,100,95,100,100,100,100,100,96,95,100,93,93,95,90,95,100,100,100,94,90,100,95,100,90,100,100,95,95,100.0,100,100,100,100
ac19x-06,92,95,80,85,90,85,85,80,100,95,92,87,100,95,96,95,100,95,100,100,100,90,86,100,99,100,95,100,90,85,100,100,90,100,91,75,98,98,83,78,97,93,94,95,100,97,90,80,80,95,95,85,77,95,70,84.0,90,75,77,80
ac19x-07,90,75,90,75,85,80,60,70,100,84,90,74,100,85,100,80,87,75,80,90,70,65,75,68,73,91,75,80,70,60,73,75,90,93,78,85,60,66,84,77,80,78,60,90,73,65,90,80,77,95,80,95,60,98,80,82.0,90,80,88,85
ac19x-08,92,90,90,80,85,100,90,84,100,95,93,88,100,90,94,95,100,90,98,100,97,90,95,100,99,100,95,96,90,91,97,100,85,100,91,90,98,100,86,90,100,90,90,100,100,94,90,70,92,100,75,95,100,84,80,84.0,95,80,90,90
ac19x-09,90,80,100,70,95,88,60,60,85,92,90,90,80,95,97,85,98,87,80,95,75,65,78,82,96,100,90,95,70,88,79,91,92,97,90,75,86,90,80,81,92,93,90,95,100,93,90,100,93,100,75,95,100,84,80,90.0,90,100,86,90
ac19x-10,65,100,70,70,65,65,60,75,100,85,90,60,100,70,93,70,80,75,60,85,61,65,65,60,68,68,75,85,65,63,68,75,76,95,63,60,86,60,75,71,90,84,60,80,63,85,90,70,65,75,70,75,60,75,65,84.0,75,75,83,85
