Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,b-o-1-z-7,p-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-p-5,p-o-2-z-6,p-o-2-z-7,p-o-2-z-8,b-o-2-z-9,b-o-3-e-1,p-o-3-e-2,p-o-3-e-3,p-f-3-e-4,b-o-3-z-5,b-f-3-z-6,p-o-3-z-7,b-o-3-z-8,b-o-4-e-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-o-4-z-8,b-f-4-z-9,p-f-5-e-1,p-o-5-e-2,p-o-5-e-3,p-o-5-z-4,b-f-5-z-5,p-f-5-z-6,b-f-5-z-7,b-o-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-o-6-p-4,p-f-6-z-5,b-o-6-z-6,b-f-6-z-7,p-o-6-p-8,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-8,p-o-8-e-1,b-o-8-e-2,p-o-8-e-3,p-f-8-z-4,p-f-8-z-5
ac20x-01,95,100,100,100,100.0,100,85,95,100.0,100,95.0,100,100.0,100,100,100,90,90.0,97,100.0,90.0,95,80,100,100,80.0,99,100,100,100,100,100,95,80.0,100,100.0,100.0,100.0,100,100,100.0,100.0,95.0,90.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0,98.0,90.0,90.0,100.0,90.0,90.0,90.0,90.0,100.0
ac20x-02,70,60,60,60,70.0,70,60,60,73.0,60,70.0,75,70.0,75,65,60,60,75.0,75,60.0,60.0,60,60,65,60,60.0,94,100,100,100,100,100,90,95.0,60,60.0,100.0,75.0,90,100,100.0,90.0,60.0,90.0,100.0,100.0,100.0,100.0,100.0,85.0,65.0,60.0,65.0,80.0,75.0,60.0,71.0,80.0,70.0,70.0,63.0,75.0
ac20x-03,75,60,72,60,60.0,65,95,67,60.0,60,60.0,60,60.0,60,60,60,88,60.0,60,62.0,60.0,86,86,70,80,70.0,60,65,60,60,60,65,80,60.0,60,60.0,60.0,70.0,75,70,80.0,60.0,60.0,90.0,70.0,90.0,85.0,90.0,65.0,75.0,65.0,60.0,60.0,88.0,65.0,60.0,60.0,60.0,70.0,76.0,61.0,75.0
ac20x-04,80,96,100,60,80.0,82,90,81,79.0,60,80.0,60,75.0,67,60,63,85,78.0,60,78.0,70.0,60,60,60,85,60.0,75,65,85,76,60,75,90,60.0,60,60.0,95.0,63.0,85,95,75.0,90.0,60.0,60.0,60.0,60.0,60.0,90.0,75.0,70.0,62.0,60.0,62.0,88.0,65.0,70.0,60.0,65.0,70.0,65.0,62.0,80.0
ac20x-05,70,95,80,60,75.0,60,80,80,70.0,60,60.0,60,60.0,60,60,80,80,60.0,60,60.0,65.0,60,60,75,60,60.0,60,60,60,50,60,60,90,75.0,60,60.0,100.0,60.0,75,80,75.0,90.0,60.0,60.0,60.0,65.0,60.0,90.0,70.0,75.0,65.0,60.0,65.0,75.0,70.0,60.0,60.0,70.0,70.0,76.0,61.0,75.0
ac20x-06,90,100,100,60,83.0,75,95,88,75.0,60,70.0,73,75.0,61,65,70,90,85.0,60,60.0,70.0,60,60,60,80,60.0,60,65,71,67,60,65,85,66.0,60,60.0,95.0,60.0,75,85,60.0,90.0,60.0,65.0,60.0,60.0,60.0,90.0,75.0,70.0,62.0,60.0,65.0,75.0,65.0,60.0,60.0,67.0,70.0,70.0,62.0,80.0
ac20x-07,90,91,100,75,92.0,82,91,88,88.0,60,70.0,70,83.0,60,60,78,85,78.0,60,60.0,70.0,60,75,60,85,60.0,60,60,75,75,60,60,60,60.0,60,60.0,60.0,60.0,75,60,75.0,90.0,60.0,60.0,60.0,60.0,60.0,90.0,75.0,70.0,67.0,60.0,61.0,74.0,65.0,65.0,60.0,70.0,70.0,70.0,60.0,80.0
ac20x-08,95,100,100,90,98.0,100,95,100,98.0,90,95.0,100,100.0,99,100,100,90,93.0,100,100.0,93.0,90,100,100,100,100.0,97,100,96,95,95,100,95,100.0,95,75.0,100.0,96.0,80,100,90.0,100.0,75.0,90.0,80.0,80.0,100.0,100.0,85.0,100.0,95.0,90.0,91.0,95.0,90.0,90.0,100.0,90.0,90.0,96.0,90.0,100.0
ac20x-09,90,87,100,60,75.0,80,90,93,76.0,60,80.0,60,90.0,60,60,71,85,60.0,60,60.0,60.0,60,60,60,60,75.0,60,65,60,65,60,65,90,60.0,60,60.0,60.0,60.0,75,65,60.0,90.0,60.0,70.0,60.0,65.0,60.0,90.0,60.0,65.0,70.0,60.0,60.0,60.0,70.0,65.0,60.0,60.0,70.0,65.0,62.0,75.0
ac20x-10,80,100,91,87,70.0,93,88,91,100.0,75,73.0,65,65.0,88,70,60,88,90.0,90,75.0,60.0,65,72,60,88,71.0,72,60,60,75,60,60,88,90.0,60,60.0,90.0,78.0,100,90,90.0,90.0,60.0,60.0,60.0,60.0,60.0,90.0,75.0,70.0,70.0,60.0,65.0,60.0,65.0,60.0,60.0,63.0,70.0,65.0,61.0,75.0
ac20x-11,95,94,90,80,75.0,80,75,94,75.0,85,90.0,88,68.0,84,65,62,95,91.0,75,60.0,94.0,100,100,100,100,60.0,65,60,65,84,60,60,95,100.0,100,100.0,100.0,100.0,90,100,90.0,100.0,78.0,100.0,86.0,100.0,100.0,100.0,100.0,95.0,100.0,75.0,95.0,85.0,100.0,80.0,63.0,100.0,60.0,100.0,95.0,100.0
ac20x-12,100,100,100,80,98.0,93,90,100,100.0,80,95.0,100,100.0,96,100,96,90,90.0,88,94.0,86.0,80,95,100,80,60.0,95,100,100,100,100,100,90,100.0,100,100.0,100.0,100.0,90,100,85.0,100.0,86.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,90.0,90.0,90.0,90.0,90.0,90.0,100.0,90.0,90.0,90.0,90.0,100.0
ac20x-13,90,95,95,75,97.0,93,90,85,85.0,60,80.0,66,85.0,79,60,60,75,83.0,60,60.0,74.0,70,80,70,80,60.0,60,60,66,75,60,70,95,70.0,65,60.0,95.0,84.0,90,80,65.0,90.0,60.0,65.0,60.0,60.0,60.0,90.0,85.0,80.0,70.0,60.0,65.0,70.0,75.0,60.0,60.0,65.0,70.0,65.0,61.0,80.0
ac20x-14,95,100,95,100,100.0,100,96,100,100.0,95,95.0,100,100.0,98,100,98,95,96.0,97,98.0,98.0,100,100,100,100,80.0,99,100,100,100,100,100,95,100.0,100,100.0,100.0,100.0,100,100,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,91.0,98.0,90.0,90.0,100.0,90.0,90.0,95.0,90.0,100.0
ac20x-15,90,98,90,80,82.0,92,95,92,75.0,60,70.0,65,78.0,60,60,75,80,93.0,87,75.0,60.0,60,76,70,60,60.0,61,70,70,68,60,75,60,90.0,90,60.0,90.0,66.0,80,75,60.0,90.0,60.0,75.0,75.0,80.0,76.0,90.0,85.0,75.0,60.0,60.0,75.0,60.0,60.0,75.0,60.0,60.0,60.0,65.0,63.0,75.0
ac20x-16,90,90,100,75,70.0,91,100,86,95.0,60,80.0,60,75.0,60,60,64,100,98.0,75,65.0,75.0,60,62,60,зв,60.0,67,60,78,60,60,60,100,85.0,60,60.0,85.0,60.0,75,70,60.0,90.0,60.0,60.0,60.0,60.0,60.0,100.0,75.0,75.0,70.0,60.0,60.0,65.0,60.0,60.0,60.0,60.0,70.0,65.0,60.0,75.0
ac20x-17,100,100,100,95,100.0,100,95,100,100.0,95,95.0,100,100.0,93,100,100,90,100.0,100,100.0,97.0,85,100,100,100,100.0,90,95,97,100,80,97,95,100.0,80,80.0,80.0,85.0,95,90,75.0,90.0,90.0,100.0,81.0,85.0,100.0,90.0,100.0,90.0,100.0,90.0,97.0,87.0,95.0,85.0,100.0,90.0,90.0,96.0,91.0,100.0
ac20x-18,90,100,100,100,100.0,96,95,94,99.0,85,95.0,98,100.0,97,100,92,95,97.0,96,100.0,97.0,90,100,100,100,85.0,100,100,100,100,100,100,90,85.0,95,100.0,100.0,100.0,90,100,95.0,100.0,90.0,100.0,90.0,90.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,98.0,93.0,100.0,100.0,90.0,90.0,96.0,90.0,100.0
ac20x-19,90,96,95,85,78.0,85,90,88,76.0,60,80.0,60,75.0,71,60,64,90,70.0,75,60.0,60.0,60,60,70,80,75.0,60,60,65,60,60,60,60,60.0,60,65.0,60.0,67.0,75,65,60.0,90.0,60.0,70.0,60.0,75.0,60.0,100.0,60.0,75.0,75.0,60.0,60.0,75.0,70.0,65.0,60.0,70.0,70.0,70.0,64.0,80.0
ac20x-20,95,100,90,90,95.0,90,90,84,100.0,95,95.0,98,100.0,98,98,91,90,100.0,95,98.0,98.0,96,70,90,90,60.0,60,60,70,60,60,60,75,75.0,60,60.0,60.0,60.0,75,95,70.0,90.0,60.0,60.0,60.0,60.0,60.0,90.0,75.0,70.0,65.0,60.0,60.0,75.0,65.0,60.0,60.0,67.0,70.0,66.0,62.0,70.0
ac20x-21,95,95,90,90,93.0,95,90,98,80.0,80,85.0,85,83.0,70,64,75,90,90.0,60,92.0,80.0,70,90,70,75,60.0,66,70,75,75,60,80,зв,90.0,85,75.0,90.0,74.0,80,80,100.0,90.0,72.0,70.0,65.0,75.0,64.0,90.0,95.0,90.0,60.0,60.0,80.0,60.0,65.0,60.0,60.0,90.0,72.0,86.0,62.0,70.0
ac20x-22,100,100,100,80,100.0,100,95,97,100.0,80,95.0,100,100.0,97,100,95,90,97.0,100,97.0,100.0,100,100,100,100,100.0,100,100,100,100,100,100,100,100.0,100,100.0,100.0,100.0,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,100.0,100.0,100.0,100.0,90.0,100.0,95.0,100.0
ac20x-23,90,98,100,75,65.0,80,90,77,75.0,60,70.0,92,90.0,72,63,79,75,65.0,60,65.0,60.0,70,75,60,80,60.0,60,68,76,75,60,60,85,70.0,60,60.0,60.0,60.0,75,95,70.0,90.0,60.0,60.0,60.0,60.0,60.0,90.0,60.0,75.0,64.0,60.0,61.0,79.0,65.0,65.0,60.0,62.0,70.0,76.0,62.0,80.0
ac20x-24,90,100,100,100,90.0,93,68,100,95.0,75,80.0,86,95.0,91,83,82,72,95.0,95,96.0,75.0,60,83,100,90,100.0,99,100,100,100,100,100,90,100.0,100,100.0,100.0,100.0,100,100,100.0,100.0,75.0,90.0,90.0,90.0,100.0,100.0,95.0,100.0,95.0,91.0,76.0,60.0,86.0,95.0,100.0,93.0,100.0,100.0,97.0,85.0
