Student ID,b-o-1-e-1,p-o-1-e-2,p-o-1-e-3,b-o-1-e-4,b-o-1-z-5,p-o-1-z-6,p-o-1-z-7,b-o-1-z-8,b-o-2-e-1,b-o-2-e-2,b-o-2-e-3,p-o-2-e-4,p-o-2-z-5,p-o-2-z-6,b-o-2-z-7,b-o-2-z-8,b-o-3-z-1,b-o-3-e-2,p-o-3-e-3,p-o-3-p-4,p-o-3-e-5,b-f-3-z-6,p-f-3-z-7,p-o-3-e-8,b-o-3-z-9,p-o-4-z-1,p-o-4-e-2,p-o-4-e-3,p-f-4-e-4,p-f-4-e-5,p-o-4-p-6,p-o-4-p-7,b-f-4-z-8,b-f-4-z-9,p-o-5-e-1,p-o-5-e-2,p-o-5-z-3,p-o-5-e-4,p-f-5-z-5,b-f-5-z-6,b-f-5-z-7,b-f-5-z-8,p-o-6-e-1,p-o-6-e-2,p-f-6-e-3,p-f-6-z-4,p-o-6-z-5,p-o-6-p-6,p-o-6-p-7,b-f-6-z-8,b-f-6-z-9,p-o-7-e-1,p-o-7-e-2,p-o-7-e-3,p-o-7-z-4,p-f-7-z-5,p-f-7-z-6,p-f-7-z-7,p-o-8-z-1,b-f-8-z-2,p-o-8-e-3,p-f-8-e-4,p-o-8-p-5
ac21x-01,90,100,95,75,85,100,90,85,100,60,85,91,97,98,95,90,60,80,82,100,65,97,100,98,85,96,88,100,60,96,60,60,72,70,72,100,100,99,60,85,60,80,90,65,100,90,60,75,85,100,90,90,75,60,75,65,75,90,89,74,75,70,90
ac21x-02,100,100,92,100,100,100,95,85,100,80,90,93,100,100,95,90,60,90,91,100,80,100,100,97,90,95,87,100,75,96,90,90,100,100,75,100,100,100,70,90,100,100,75,100,91,100,100,90,90,85,60,60,60,60,60,100,60,75,60,60,60,60,90
ac21x-03,100,100,94,100,100,100,100,94.5,98,95,90,90,95,94,100,90,100,100,98,100,96,100,100,100,95,86,90,90,90,82,90,100,95,100,85,90,98,99,90,90,95,90,90,90,82,85,75,90,90,80,90,87,100,90,90,100,80,100,97,90,100,90,100
ac21x-04,100,100,91,90,95,100,100,100,98,75,90,98,100,100,95,90,75,100,90,100,100,100,100,98,95,100,97,100,91,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,95,100,100,90,100,100,90,90,98,93,85,100,93,100,88,82,90,91,100
ac21x-05,100,100,90,75,100,95,96,85,100,90,90,98,100,100,95,90,100,90,97,100,100,100,100,98,95,100,100,100,95,95,100,100,100,100,94,100,100,100,100,99,100,100,100,100,95,100,100,90,85,92,90,100,97,98,100,100,97,100,93,78,100,94,100
ac21x-06,95,98,79,75,75,95,91,85,98,60,75,81,90,87,90,90,60,60,78,70,62,70,70,90,70,60,74,75,60,72,85,75,75,80,70,65,60,98,60,60,70,75,70,60,60,75,60,65,75,65,60,90,60,85,65,60,60,60,60,90,60,60,90
ac21x-07,95,100,77,70,75,85,80,85,100,60,92,94,100,100,100,90,75,60,100,100,60,95,100,98,90,60,60,75,60,60,60,60,85,80,75,75,100,98,75,70,75,90,60,70,60,60,65,65,100,60,60,70,60,60,60,75,65,60,60,72,70,60,90
ac21x-08,90,90,86,60,90,100,80,85,96,60,70,77,90,75,95,90,60,70,72,60,84,75,70,98,60,70,60,65,60,60,60,60,60,70,60,60,70,60,60,75,75,70,60,60,60,60,60,65,70,65,60,65,60,65,60,70,65,60,70,70,70,62,85
ac21x-09,100,98,84,80,90,100,96,85,100,90,100,93,100,100,100,90,65,80,95,100,93,100,100,90,90,100,91,95,75,92,100,100,95,100,90,95,100,100,92,96,100,95,60,100,91,90,100,100,90,90,60,65,72,65,60,65,65,60,65,60,70,62,90
ac21x-10,95,100,90,80,80,95,98,95,92,80,82,96,100,100,100,90,75,80,97,100,94,100,100,95,95,99,98,100,90,94,80,100,100,90,86,100,100,100,80,98,90,90,88,100,100,100,100,100,95,86,90,100,93,92,100,90,93,100,89,76,85,93,100
ac21x-11,95,94,83,90,85,90,93,75,100,95,100,94,97,100,90,90,90,90,92,100,91,91,100,96,95,98,95,100,95,100,90,100,100,80,93,100,100,100,100,100,100,90,100,82,80,100,100,100,85,83,90,85,96,91,90,95,95,100,95,68,95,93,100
ac21x-12,95,90,84,75,62,100,80,80,68,60,70,66,60,60,95,90,60,60,75,75,75,60,60,60,70,80,75,75,80,80,75,75,65,60,70,65,75,65,70,60,65,60,60,70,60,60,60,65,75,60,60,75,60,65,60,75,70,65,60,60,60,60,90
ac21x-13,96,100,88,80,100,100,85,85,98,60,70,82,85,75,90,90,60,60,75,60,60,95,100,98,95,60,60,65,70,72,60,60,75,70,65,60,85,98,65,60,75,85,60,70,65,60,60,65,75,70,90,70,60,60,60,75,65,60,65,68,70,63,85
ac21x-14,100,100,89,80,95,100,96,85,100,85,95,92,95,100,95,90,90,90,97,100,97,100,100,98,100,100,100,100,95,97,95,95,100,100,99,100,100,100,98,100,100,90,100,100,100,100,100,100,100,100,90,100,100,93,100,100,95,100,96,90,95,95,100
ac21x-15,100,100,91,80,90,100,94,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,98,90,95,100,100,91,82,82,100,100,100,100,82,90,100,95,93,90,91,95,100,90,90,90,90,100
ac21x-16,100,95,95,100,95,100,99,95,100,100,100,99,100,100,100,90,100,100,100,100,100,100,100,98,100,100,100,100,96,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,99,98,100,100,100,100,90,76,100,94,100
ac21x-17,100,99,88,70,95,100,94,85,100,80,92,92,100,100,100,90,75,90,95,100,92,100,100,98,95,60,88,95,76,98,90,70,97,80,90,100,100,100,70,100,93,80,71,85,85,100,100,60,95,88,90,90,91,66,100,95,70,88,81,80,80,62,100
ac21x-18,100,100,90,95,92,100,94,96,100,90,91,90,92,100,100,90,90,80,97,100,87,100,100,98,95,100,90,100,95,95,92,100,100,100,92,100,100,100,100,86,100,100,100,100,90,95,100,90,90,100,90,100,93,93,95,100,92,100,91,80,97,92,100
ac21x-19,100,100,90,95,95,100,95,80,100,90,100,94,100,100,100,90,90,100,100,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,90,100,100,98,100,100,97,100,94,90,100,94,100
ac21x-20,100,100,89,100,100,100,98,100,100,100,100,96,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,98,90,95,100,100,92,82,85,100,100,100,100,82,90,100,95,93,90,92,95,100,90,90,90,90,100
ac21x-22,90,75,90,60,80,65,60,60,60,60,60,60,75,75,60,60,60,60,65,65,60,60,60,60,60,60,60,65,65,60,60,60,75,60,60,65,60,60,60,60,75,70,60,60,60,60,65,65,70,67,90,65,60,65,60,65,65,60,60,70,70,70,60
ac21x-23,90,75,80,60,72,87,85,60,85,60,83,90,70,98,93,60,65,90,75,85,78,60,70,95,70,79,79,75,67,83,76,80,100,90,63,60,90,60,61,65,60,90,62,80,76,95,70,81,80,80,60,80,81,84,90,97,75,94,92,74,95,82,90
